In Progress,في تَقَدم,Davam edir,В ход,Em andamento,U nastajanju,Probíhá,I gang,Bezig,In Progress,Isinasagawa,Käynnissä,En cours,Im Gange,Σε εξέλιξη,בתהליך,Folyamatban,Í vinnslu,Sedang berlangsung,In corso,進行中,Орындалуда,진행 중,Notiek,Vykdoma,Sedang Berlangsung,I prosess,W trakcie,Em andamento,În curs,В ходе выполнения,进行中,Prebieha,V delu,En curso,Pågående,กำลังดำเนินการ,進行中,Devam etmekte,В процесі,Jarayonda,Trong tiến trình
Better you know,من الأفضل أن تعرف,Daha yaxşı bilsən,По-добре да знаете,Melhor você saber,Bolje da znaš,Lepší víte,Det ved du bedre,Beter weet je het,Better you know,Mas mahusay na alam mo,Parempi tietää,Mieux vaut que tu saches,Besser du weißt es,Καλύτερα να ξέρεις,עדיף שתדע,"Jobb, ha tudod",Betra að þú veist það,Lebih baik kamu tahu,Meglio che tu lo sappia,知っておいたほうがいいよ,Білсең жақсырақ,당신이 더 잘 알잖아요,Labāk tu zini,Geriau žinai,Lebih baik anda tahu,Bedre vet du,Lepiej żebyś wiedział,Melhor você saber,Mai bine să știi,Лучше ты знаешь,最好你知道,Lepšie viete,"Bolje, da veš",mejor lo sabes,Bättre du vet,ดีกว่าคุณรู้,最好你知道,Bilsen iyi olur,Краще вам знати,Bilsangiz yaxshiroq,Tốt hơn là bạn nên biết
Rocket is used This will provide a prefilled letter in next level,يتم استخدام الصاروخ وسيوفر هذا خطابًا مملوءًا مسبقًا في المستوى التالي,"Raket istifadə olunur Bu, növbəti səviyyədə əvvəlcədən doldurulmuş məktubu təmin edəcək",Използва се ракета Това ще осигури предварително попълнена буква в следващото ниво,O foguete é usado Isto fornecerá uma carta pré-preenchida no próximo nível,Koristi se raketa Ovo će osigurati unaprijed ispunjeno slovo na sljedećoj razini,Používá se raketa To poskytne předvyplněný dopis v další úrovni,Raket er brugt Dette vil give et forududfyldt bogstav i næste niveau,Raket wordt gebruikt. Dit levert een voorgevulde brief op in het volgende level,Rocket is used This will provide a prefilled letter in next level,Ginagamit ang rocket Magbibigay ito ng paunang napunong titik sa susunod na antas,Rakettia käytetään Tämä antaa esitäytetyn kirjeen seuraavalle tasolle,Rocket est utilisé Cela fournira une lettre préremplie au niveau suivant,Rakete wird verwendet. Dadurch wird im nächsten Level ein vorab ausgefüllter Buchstabe bereitgestellt,Ο πύραυλος χρησιμοποιείται Αυτό θα παρέχει μια προγεμισμένη επιστολή στο επόμενο επίπεδο,נעשה שימוש בטיל זה יספק אות ממולאת מראש בשלב הבא,Rakéta használatos Ez egy előre kitöltött levelet biztosít a következő szinten,Eldflaug er notuð Þetta gefur útfylltan staf á næsta stigi,Roket digunakan Ini akan memberikan surat yang sudah diisi sebelumnya di level berikutnya,Viene utilizzato il razzo. Questo fornirà una lettera precompilata nel livello successivo,ロケットが使用されます。これにより、次のレベルで事前に入力された文字が提供されます,Зымыран пайдаланылады Бұл келесі деңгейде алдын ала толтырылған әріпті береді,로켓이 사용됩니다. 다음 레벨에서 미리 채워진 문자를 제공합니다.,Tiek izmantota raķete Tas nodrošinās iepriekš aizpildītu burtu nākamajā līmenī,Raketa naudojama Tai pateiks iš anksto užpildytą laišką kitame lygyje,Roket digunakan Ini akan memberikan surat praisi di peringkat seterusnya,Rakett er brukt Dette vil gi en forhåndsutfylt bokstav i neste nivå,Używana jest rakieta. Zapewni to wstępnie wypełnioną literę na następnym poziomie,O foguete é usado Isto fornecerá uma carta pré-preenchida no próximo nível,Este folosită racheta. Aceasta va furniza o scrisoare pre-completată la nivelul următor,Используется ракета. На следующем уровне появится предварительно заполненная буква.,使用火箭这将在下一个级别提供预先填写的字母,Používa sa raketa Toto poskytne predvyplnené písmeno v ďalšej úrovni,Uporabljena je raketa To bo zagotovilo vnaprej izpolnjeno črko v naslednji stopnji,Se utiliza cohete. Esto proporcionará una carta precargada en el siguiente nivel.,Raket används Detta kommer att ge en förifylld bokstav i nästa nivå,มีการใช้จรวด ซึ่งจะจัดให้มีตัวอักษรที่กรอกไว้ล่วงหน้าในระดับต่อไป,使用火箭這將在下一個級別提供預先填寫的字母,"Roket kullanılır Bu, bir sonraki seviyede önceden doldurulmuş bir mektup sağlayacaktır",Використовується ракета Це забезпечить попередньо заповнений лист на наступному рівні,Raketa ishlatiladi Bu keyingi bosqichda oldindan to'ldirilgan xatni taqdim etadi,Tên lửa được sử dụng Điều này sẽ cung cấp một lá thư điền sẵn ở cấp độ tiếp theo
ok,نعم,tamam,Добре,OK,u redu,OK,Okay,OK,ok,ok,okei,d'accord,OK,Εντάξει,בסדר,rendben,allt í lagi,Oke,OK,わかりました,Жарайды ма,좋아요,labi,Gerai,okey,ok,OK,OK,Bine,хорошо,好的,ok,v redu,OK,ok,ตกลง,好的,Tamam,в порядку,Kelishdikmi,Được rồi
Sign in to open tournaments,قم بتسجيل الدخول لفتح البطولات,Turnirləri açmaq üçün daxil olun,"Влезте, за да отворите турнири",Faça login para abrir torneios,Prijavite se za otvaranje turnira,Přihlaste se do otevřených turnajů,Log ind for at åbne turneringer,Log in om toernooien te openen,Sign in to open tournaments,Mag-sign in para magbukas ng mga tournament,Kirjaudu sisään avataksesi turnaukset,Connectez-vous pour ouvrir des tournois,"Melden Sie sich an, um Turniere zu eröffnen",Συνδεθείτε για να ανοίξετε τουρνουά,היכנס כדי לפתוח טורנירים,Jelentkezzen be a versenyek megnyitásához,Skráðu þig inn til að opna mót,Masuk untuk membuka turnamen,Accedi per aprire i tornei,サインインしてトーナメントを開く,Турнирлерді ашу үшін жүйеге кіріңіз,토너먼트를 열려면 로그인하세요,"Pierakstieties, lai atvērtu turnīrus","Prisijunkite, kad atidarytumėte turnyrus",Log masuk untuk membuka kejohanan,Logg på for å åpne turneringer,"Zaloguj się, aby otworzyć turnieje",Faça login para abrir torneios,Conectați-vă pentru a deschide turnee,"Войдите, чтобы открывать турниры",登录以开启锦标赛,Prihláste sa do otvorených turnajov,Za odpiranje turnirjev se prijavite,Inicia sesión para abrir torneos,Logga in för att öppna turneringar,ลงชื่อเข้าใช้เพื่อเปิดการแข่งขัน,登入以開啟錦標賽,Turnuvaları açmak için oturum açın,"Увійдіть, щоб відкрити турніри",Turnirlarni ochish uchun tizimga kiring,Đăng nhập để mở giải đấu
Tournaments locked,البطولات مغلقة,Turnirlər bağlandı,Турнирите са заключени,Torneios bloqueados,Turniri zaključani,Turnaje zamčené,Turneringer låst,Toernooien vergrendeld,Tournaments locked,Naka-lock ang mga tournament,Turnaukset lukittu,Tournois verrouillés,Turniere gesperrt,Κλειδωμένα τουρνουά,טורנירים נעולים,A versenyek lezárva,Mótum læst,Turnamen terkunci,Tornei bloccati,トーナメントはロックされています,Турнирлер жабылды,토너먼트 잠김,Turnīri bloķēti,Turnyrai užrakinti,Kejohanan dikunci,Turneringer er låst,Turnieje zablokowane,Torneios bloqueados,Turnee blocate,Турниры заблокированы,锦标赛已锁定,Turnaje zamknuté,Turnirji zaklenjeni,Torneos bloqueados,Turneringar låsta,ทัวร์นาเมนต์ถูกล็อค,錦標賽已鎖定,Turnuvalar kilitlendi,Турніри заблоковано,Turnirlar yopiq,Giải đấu đã bị khóa
WAITING ROOM,غرفة الانتظار,GÖZLƏMƏ OTAĞI,ЧАКАЛНЯ,SALA DE ESPERA,ČEKAONICA,ČEKÁRNA,VENTEVÆRELSE,WACHTKAMER,WAITING ROOM,SILIDHINTAYAN,ODOTUSHUONE,SALLE D'ATTENTE,WARTEZIMMER,ΑΙΘΟΥΣΑ ΑΝΑΜΟΝΗΣ,חדר המתנה,VÁRÓSZOBA,BIÐSTOFA,RUANG TUNGGU,SALA D'ATTESA,待合室,КҮТУ БӨЛМЕСІ,대기실,UZGAIDĀMĀ TELPA,LAUKIAMASIS,BILIK MENUNGGU,VENTE ROM,POCZEKALNIA,SALA DE ESPERA,SALĂ DE AȘTEPTARE,ЗАЛ ОЖИДАНИЯ,等候室,ČAKÁREŇ,ČAKALNICA,SALA DE ESPERA,VÄNTRUM,ห้องรอ,等候室,BEKLEME ODASI,ЗАЛ ОЧІКУВАННЯ,KUTISH XONASI,PHÒNG CHỜ
Reach the required level to unlock the,الوصول إلى المستوى المطلوب لفتح,Kilidini açmaq üçün tələb olunan səviyyəyə çatın,"Достигнете необходимото ниво, за да отключите",Alcance o nível necessário para desbloquear o,Dosegnite potrebnu razinu za otključavanje,Dosáhněte požadované úrovně pro odemknutí,Nå det nødvendige niveau for at låse op,Bereik het vereiste niveau om het te ontgrendelen,Reach the required level to unlock the,Abutin ang kinakailangang antas upang i-unlock ang,Saavuta vaadittu taso avataksesi lukituksen,Atteignez le niveau requis pour débloquer le,"Erreiche das erforderliche Level, um das freizuschalten",Φτάστε το απαιτούμενο επίπεδο για να ξεκλειδώσετε το,הגיע לרמה הנדרשת כדי לפתוח את,A zár feloldásához érje el a szükséges szintet,Náðu tilskildu stigi til að opna,Capai level yang diperlukan untuk membuka kunci,Raggiungi il livello richiesto per sbloccare il,必要なレベルに到達するとロックが解除されます,Құлыпты ашу үшін қажетті деңгейге жетіңіз,잠금 해제에 필요한 레벨에 도달하세요.,"Sasniedziet vajadzīgo līmeni, lai atbloķētu","Pasiekite reikiamą lygį, kad atrakintumėte",Capai tahap yang diperlukan untuk membuka kunci,Nå det nødvendige nivået for å låse opp,"Osiągnij wymagany poziom, aby odblokować",Alcance o nível necessário para desbloquear o,Atingeți nivelul necesar pentru a debloca,"Достигните необходимого уровня, чтобы разблокировать",达到解锁所需等级,Dosiahnite požadovanú úroveň na odomknutie,Dosezite zahtevano raven za odklepanje,Alcanza el nivel requerido para desbloquear el,Nå den nivå som krävs för att låsa upp,ถึงระดับที่ต้องการเพื่อปลดล็อค,達到解鎖所需等級,Kilidini açmak için gerekli seviyeye ulaşın,"Досягніть необхідного рівня, щоб розблокувати",Qulfni ochish uchun kerakli darajaga erishing,Đạt cấp độ yêu cầu để mở khóa
New Text,نص جديد,Yeni Mətn,Нов текст,Novo texto,Novi tekst,Nový Text,Ny tekst,Nieuwe tekst,New Text,Bagong Teksto,Uusi teksti,Nouveau texte,Neuer Text,Νέο Κείμενο,טקסט חדש,Új szöveg,Nýr texti,Teks Baru,Nuovo testo,新しいテキスト,Жаңа мәтін,새 텍스트,Jauns teksts,Naujas tekstas,Teks Baharu,Ny tekst,Nowy tekst,Novo texto,Text nou,Новый текст,新文本,Nový Text,Novo besedilo,Nuevo texto,Ny text,ข้อความใหม่,新文字,Yeni Metin,Новий текст,Yangi matn,Văn bản mới
Redeem,يسترد,Geri alın,Откупете,Resgatar,Otkupiti,Vykoupit,Indløs,Inwisselen,Redeem,Tubusin,Lunastaa,Racheter,Tilgen,Εξαργυρώνω,לִפְדוֹת,Beváltani,Innleysa,Menukarkan,Riscattare,償還,Өтеу,상환하다,Izpirkt,Išpirkti,Tebus,Løs inn,Odkupić,Resgatar,Răscumpăra,Выкупать,赎回,Uplatniť,Odkupi,Canjear,Lösa in,ไถ่ถอน,贖回,Tazmin etmek,Викупити,Qabul qilish,Chuộc lại
Paypal email,بريد باي بال,Paypal e-poçtu,Paypal имейл,Email do Paypal,Paypal email,Paypal email,Paypal e-mail,Paypal E-mail,Paypal email,Paypal Email,Paypal sähköposti,Email Paypal,Paypal Email,Paypal email,מייל של פייפאל,Paypal email,Paypal tölvupóstur,email PayPal,E-mail Paypal,ペイパルメール,Paypal электрондық поштасы,페이팔 이메일,Paypal e-pasts,Paypal el,E-mel Paypal,Paypal e-post,Paypal email,Email do Paypal,E-mail Paypal,Электронная почта PayPal,贝宝电子邮件,Paypal email,Paypal email,E-mail de Paypal,Paypal e-post,อีเมลเพย์พาล,貝寶電子郵件,Paypal e-postası,Електронна пошта Paypal,Paypal elektron pochtasi,Paypal Email
AMOUNT,كمية,AMOUNT,КОЛИЧЕСТВО,QUANTIA,IZNOS,MNOŽSTVÍ,BELØB,HOEVEELHEID,AMOUNT,HALAGA,MÄÄRÄ,MONTANT,MENGE,ΠΟΣΟ,כמות,ÖSSZEG,MAGN,JUMLAH,QUANTITÀ,額,AMOUNT,양,SUMMA,SUMA,JUMLAH,BELØP,KWOTA,QUANTIA,CANTITATE,КОЛИЧЕСТВО,数量,AMOUNT,ZNESEK,CANTIDAD,BELOPP,จำนวน,數量,MİKTAR,СУМА,AMOUNT,SỐ LƯỢNG
Payment Information,معلومات الدفع,Ödəniş Məlumatı,Информация за плащане,Informação de pagamento,Informacije o plaćanju,Informace o platbě,Betalingsinformation,betalingsinformatie,Payment Information,Impormasyon sa Pagbabayad,Maksutiedot,Informations de paiement,Zahlungsinformationen,Πληροφορίες Πληρωμής,פרטי תשלום,Fizetési információ,greiðslu upplýsingar,Informasi Pembayaran,Informazioni sul pagamento,支払情報,Төлем туралы ақпарат,결제 정보,Informācija par maksājumu,Mokėjimo informacija,Maklumat Pembayaran,Betalingsinformasjon,Informacja o płatności,Informação de pagamento,informatii de plata,Платежная информация,支付信息,Informácie o platbe,Informacije o plačilu,Información del pago,Betalningsinformation,ข้อมูลการชำระเงิน,支付訊息,ödeme bilgileri,Інформація про оплату,To'lov ma'lumotlari,Thông tin thanh toán
PayPal,باي بال,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,Pay Pal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,ペイパル,PayPal,페이팔,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,PayPal,贝宝,PayPal,PayPal,PayPal,PayPal,เพย์พาล,貝寶,PayPal,PayPal,PayPal,PayPal
cash in,التدفقات النقدية الداخلة,nağd pul,пари в брой,ganhar dinheiro,unovčiti,hotovost,kontanter ind,verzilveren,cash in,cash in,rahastaa,encaisser,einlösen,εξαργύρωση,מזומנים ב,beváltás,reiðufé inn,kas,incassare,現金で,қолма-қол ақша,현금,iekasēt,grynųjų pinigų,masuk tunai,kontanter inn,środki pieniężne w,ganhar dinheiro,numerar în,обналичить,现金,hotovosť,vplačati,dinero en efectivo en,inkassera,เงินสดเข้า,現金,nakit,грошові кошти в,naqd pul kiritish,tiền mặt
Withdrawl Tasks,مهام السحب,Geri götürmə tapşırıqları,Задачи за теглене,Tarefas de retirada,Zadaci povlačenja,Úkoly stažení,Tilbagetrækningsopgaver,Taken intrekken,Withdrawl Tasks,Mga Gawain sa Pag-withdraw,Peruuta tehtävät,Tâches de retrait,Auszahlungsaufgaben,Εργασίες απόσυρσης,משימות משיכה,Feladatok visszavonása,Afturköllunarverkefni,Tugas Penarikan,Compiti di ritiro,出金タスク,Шығару тапсырмалары,출금 작업,Izņemšanas uzdevumi,Atšaukimo užduotys,Tugas Penarikan Diri,Tilbaketrekkingsoppgaver,Zadania dotyczące wypłat,Tarefas de retirada,Sarcini de retragere,Задачи по выводу средств,提现任务,Úlohy stiahnutia,Naloge za umik,Retirar tareas,Återtagsuppgifter,ถอนงาน,提現任務,Para Çekme Görevleri,Завдання зняття,O'chirish vazifalari,Nhiệm vụ rút tiền
Select Payment Method,اختار طريقة الدفع,Ödəniş metodunu seçin,Изберете метод на плащане,Selecione o método de pagamento,Odaberite način plaćanja,Vyberte způsob platby,Vælg Betalingsmetode,Selecteer betaalmethode,Select Payment Method,Piliin ang Paraan ng Pagbabayad,Valitse Maksutapa,Sélectionnez le mode de paiement,Wählen Sie die Zahlungsmethode,Επιλέξτε Τρόπος πληρωμής,בחר שיטת תשלום,Válassza a Fizetési mód lehetőséget,Veldu greiðslumáta,Pilih metode pembayaran,scegli il metodo di pagamento,支払い方法を選択してください,Төлем әдісін таңдаңыз,결제 방법 선택,Atlasiet Maksājuma veids,Pasirinkite Mokėjimo būdas,Pilih Kaedah Pembayaran,Velg betalingsmåte,Wybierz Metodę Płatności,Selecione o método de pagamento,selecteaza metoda de plata,Выберите метод оплаты,选择付款方式,Vyberte spôsob platby,Izberite način plačila,Seleccione método de pago,Välj betalningsmetod,เลือกวิธีการชำระเงิน,選擇付款方式,ödeme türünü seçin,Виберіть спосіб оплати,To'lov usulini tanlang,Chọn phương thức thanh toán
CASH OUT,المصروفات,NƏĞD EDİN,ОСРЕБРИТЕ,SACAR,ISPLATA,PROPLATIT,UDBETALE,UITBETALEN,CASH OUT,CASH OUT,LOISTAA,ENCAISSEMENT,AUSZAHLEN,ΕΞΑΡΓΥΡΩΣΕΤΕ,לפדות את,KIFIZETÉS,TAKA ÚT,KAS KELUAR,INCASSARE,キャッシュアウト,ҚОЛМА-ҚОЛ АҚША ЕТІП БЕРУ,현금 인출,IZMAKSĀT SKAIDRU,IŠGRYNINTI,KELUARKAN DUIT,UTANN,WYPŁATA,SACAR,ÎNCASA,ОБНАЛИЧИТЬ,兑现,CASH OUT,IZPLAČAM,RETIRAR EFECTIVO,KONTAKTA UT,เงินออก,兌現,PARAM BİTTİ,ОБНАЛИЧИТЬ,NAQD QILISH,RÚT TIỀN
Account Balance,رصيد الحساب,Hesab balansı,Салдо по сметка,Saldo da conta,Stanje na računu,Zůstatek na účtu,Kontosaldo,Accountsaldo,Account Balance,Balanse ng account,Tilin saldo,Solde du compte,Kontostand,Υπόλοιπο λογαριασμού,יתרת חשבון,Számlaegyenleg,Staða reiknings,Saldo rekening,Saldo del conto,勘定残高,Шот балансы,계정 잔액,Konta atlikums,Sąskaitos balansas,Baki akaun,Saldo,Bilans konta,Saldo da conta,Balanța contului,Баланс,账户余额,Zostatok na účte,Stanje na računu,Saldo de la cuenta,Kontobalans,ยอดเงินในบัญชี,帳戶餘額,Hesap bakiyesi,Баланс,Hisob balansi,Số dư tài khoản
Sign in with google,الدخول مع جوجل,Google ilə daxil olun,Влезте с google,Faça login no Google,Prijavite se s Googleom,Přihlaste se pomocí google,Log ind med google,Log in met Google,Sign in with google,Mag-sign in gamit ang google,Kirjaudu sisään googlella,Connectez-vous avec Google,Anmeldung mit Google,Συνδεθείτε με το google,היכנס באמצעות גוגל,Jelentkezzen be google-val,Skráðu þig inn með google,Masuk dengan google,Accedi con Google,Googleでサインインする,Google арқылы кіріңіз,구글로 로그인,Pierakstieties ar Google,Prisijunkite su google,Log masuk dengan google,Logg på med google,Zaloguj się za pomocą Google,Faça login no Google,Conectați-vă cu google,Войти через Google,使用谷歌登录,Prihláste sa pomocou google,Prijavite se z Googlom,Inicia sesión con Google,Logga in med google,ลงชื่อเข้าใช้ด้วย Google,使用谷歌登入,Google ile giriş yap,Увійдіть через Google,Google bilan tizimga kiring,Đăng nhập bằng Google
Sign in with facebook,قم بتسجيل الدخول باستخدام الفيسبوك,Facebook ilə daxil olun,Влезте с facebook,Faça login com o Facebook,Prijavite se putem facebooka,Přihlásit se pomocí Facebooku,Log ind med Facebook,Meld je aan met facebook,Sign in with facebook,Mag-sign in gamit ang facebook,Kirjaudu sisään facebookilla,Connectez-vous avec Facebook,Mit Facebook anmelden,Σύνδεση με Facebook,התחבר עם פייסבוק,Jelentkezzen be facebook-on,Skráðu þig inn með facebook,Masuk dengan facebook,Accedi con Facebook,Facebookでサインインする,Facebook арқылы жүйеге кіріңіз,페이스북으로 로그인,Pierakstieties ar facebook,Prisijunkite su facebook,Daftar masuk dengan Facebook,Logg inn med Facebook,Zaloguj się przez Facebook,Faça login com o Facebook,Logheaza-te cu Facebook,Авторизоваться с помощью Фэйсбука,使用 Facebook 登录,Prihlásiť sa cez facebook,Prijavite se s facebookom,Iniciar sesión usando Facebook,Logga in med Facebook,เข้าสู่ระบบด้วยเฟสบุ๊ค,使用 Facebook 登入,Facebook ile giriş,Увійдіть через facebook,Facebook bilan tizimga kiring,Đăng nhập bằng facebook
